game_ID,play_ID,NFL_ID,name,position,max_vel,max_accel
2022090800,101,42816,Troy Hill,CB,4.52,6.37
2022090800,393,46232,Tim Settle,DT,1.78,2.81
2022090800,486,40166,Jordan Poyer,SS,4.1,3.33
2022090800,646,47939,Justin Hollins,OLB,4.34,3.78
2022090800,818,40107,Micah Hyde,FS,4.75,5.07
2022090800,818,54650,Christian Benford,CB,6.48,3.91
2022090800,1286,44976,Matt Milano,OLB,7.54,4.69
2022090800,1736,44976,Matt Milano,OLB,5.0,3.49
2022090800,2860,46085,Tremaine Edmunds,ILB,3.32,3.97
2022090800,3092,46190,Taron Johnson,CB,8.67,4.16
2022090800,3145,52647,Dane Jackson,CB,2.99,4.03
2022090800,3362,46190,Taron Johnson,CB,4.9,2.97
2022090800,3383,54488,Kaiir Elam,CB,5.41,4.06
2022091100,1260,44851,Marcus Maye,FS,5.83,5.38
2022091100,1260,44862,Justin Evans,SS,,
2022091100,1672,40017,Tyrann Mathieu,FS,4.98,4.87
2022091100,2114,53469,Richie Grant,SS,4.26,3.21
2022091100,2353,38607,Demario Davis,MLB,5.89,2.74
2022091100,2512,53611,Adetokunbo Ogundeji,OLB,5.59,2.02
2022091100,2640,44862,Justin Evans,SS,6.43,2.86
2022091100,2878,53489,Pete Werner,OLB,3.42,3.7
2022091100,2899,37097,Cameron Jordan,DE,5.61,4.09
2022091100,2899,43409,David Onyemata,DT,2.76,2.15
2022091100,3578,52542,Jaylinn Hawkins,FS,4.74,3.49
2022091100,3647,53469,Richie Grant,SS,7.52,3.82
2022091100,3778,53489,Pete Werner,OLB,3.2,5.72
2022091101,1691,53481,Jeremiah Owusu-Koramoah,OLB,7.66,3.34
2022091101,1691,46073,Denzel Ward,CB,5.57,6.24
2022091101,1744,44903,John Johnson,FS,9.28,2.69
2022091101,1785,52452,Grant Delpit,SS,6.92,4.51
2022091101,2051,46527,Frankie Luvu,ILB,2.86,3.54
2022091101,3221,47799,Brian Burns,OLB,6.57,3.5
2022091102,86,44938,Samson Ebukam,DE,4.49,2.33
2022091102,531,52571,Kindle Vildor,CB,5.6,3.61
2022091102,531,44925,Eddie Jackson,SS,3.32,3.43
2022091102,756,53609,Talanoa Hufanga,SS,6.99,2.25
2022091102,1493,54504,Kyler Gordon,CB,5.65,5.65
2022091102,2065,54504,Kyler Gordon,CB,7.79,6.44
2022091102,2065,54513,Jaquan Brisker,SS,5.77,5.29
2022091102,2352,46290,Matthew Adams,OLB,4.01,4.12
2022091102,2759,54504,Kyler Gordon,CB,5.64,1.88
2022091102,3783,52571,Kindle Vildor,CB,1.44,3.09
2022091102,4102,54639,Dominique Robinson,DE,,
2022091103,520,46146,Sam Hubbard,DE,5.07,2.58
2022091103,1037,44842,T.J. Watt,OLB,4.19,3.81
2022091103,1315,46080,Minkah Fitzpatrick,FS,4.74,6.13
2022091103,1405,46080,Minkah Fitzpatrick,FS,7.88,5.31
2022091103,1672,46080,Minkah Fitzpatrick,FS,9.97,4.22
2022091103,2058,43641,Mike Hilton,CB,2.39,3.65
2022091103,2172,46097,Terrell Edmunds,SS,7.65,3.99
2022091103,2222,44842,T.J. Watt,OLB,4.64,3.96
2022091103,2291,46698,Levi Wallace,CB,8.25,5.76
2022091103,2291,46097,Terrell Edmunds,SS,7.41,4.29
2022091103,2976,46097,Terrell Edmunds,SS,4.99,5.73
2022091103,3147,44872,Chidobe Awuzie,CB,4.67,1.66
2022091103,3251,43325,Myles Jack,ILB,8.29,6.0
2022091103,4175,43641,Mike Hilton,CB,7.62,2.94
2022091103,4686,43641,Mike Hilton,CB,7.08,7.17
2022091103,5096,43350,Vonn Bell,SS,6.23,3.27
2022091104,803,52411,Jeff Okudah,CB,5.46,4.94
2022091104,910,54653,Malcolm Rodriguez,ILB,6.0,5.03
2022091104,910,44888,Alex Anzalone,ILB,4.17,4.89
2022091104,999,47900,Austin Bryant,OLB,4.66,2.87
2022091104,1528,46259,DeShon Elliott,FS,7.83,4.66
2022091104,2269,44888,Alex Anzalone,ILB,8.64,4.13
2022091104,2269,46099,Mike Hughes,CB,6.68,5.48
2022091104,2558,53542,Derrick Barnes,ILB,9.26,2.01
2022091104,2781,43351,James Bradberry,CB,7.39,3.53
2022091104,2781,46188,Kyzir White,ILB,,
2022091104,2781,47888,Chauncey Gardner-Johnson,SS,5.35,5.17
